"Age","Sig1Mean","Sig1Med","Sig1RobMean","Sig7Mean","Sig7RobMean","Sig7Med","Cohort"
"1",30,17,17,17,347,347,347,"NRAS"
"2",33,20,20,20,217,217,217,"NRAS"
"3",34,34,34,34,256,256,256,"NRAS"
"4",35,27,27,27,509,509,509,"NRAS"
"5",38,44.5,44.5,44.5,506,493.674994302932,506,"NRAS"
"6",39,34.5,34.5,33.436506994601,525,462.194764141698,525,"NRAS"
"7",40,22.5,22.5,22.2261107708929,238.5,206.402519364469,238.5,"NRAS"
"8",43,63,93,93,1109.2,820,820,"NRAS"
"9",44,50,50,46.6476151587624,991,926.757789284774,991,"NRAS"
"10",45,10,10,10,609,609,609,"NRAS"
"11",46,28.3333333333333,21,22.1569091925254,401,444,444,"NRAS"
"12",47,36,36,36,977,977,977,"NRAS"
"13",48,28.1666666666667,31.5,30.5941170815567,629.833333333333,722.423698393124,722.5,"NRAS"
"14",49,16,16,16,340,340,340,"NRAS"
"15",50,19,19,19,164,164,164,"NRAS"
"16",51,16,16,16,11,11,11,"NRAS"
"17",52,60,42,42,535.8,310,310,"NRAS"
"18",54,36.6666666666667,25,25,432,319,319,"NRAS"
"19",55,19.5,19.5,19.6539581190713,196.5,196.27022188809,196.5,"NRAS"
"20",56,16,16,16,0,4.15764359551784e-07,0,"NRAS"
"21",57,9.33333333333333,11,11,149.666666666667,170,170,"NRAS"
"22",58,24.75,15.5,12.9614813968157,336.25,274.1404749394,337,"NRAS"
"23",60,82.5,82.5,77.0454411370329,1018,1005.34770104676,1018,"NRAS"
"24",62,22,4,4,806.666666666667,545,545,"NRAS"
"25",63,144.5,144.5,110.172591872934,1051,953.075023279909,1051,"NRAS"
"26",65,63.3333333333333,72,72,684.333333333333,675,675,"NRAS"
"27",66,47.6666666666667,49,49,921.666666666667,556,556,"NRAS"
"28",67,6,6,6,358,358,358,"NRAS"
"29",68,146,146,93.6589557917448,3202,1324.98264139573,3202,"NRAS"
"30",69,52,52,52,521,521,521,"NRAS"
"31",70,31.6,26,26,603,708,708,"NRAS"
"32",71,34.75,37.5,37.5,650.75,559.910707166776,584,"NRAS"
"33",72,84,84,84,1134,1134,1134,"NRAS"
"34",73,77.2,87,87,900.4,795,795,"NRAS"
"35",74,53,53,53,362,362,362,"NRAS"
"36",75,72.6666666666667,69,69,933.333333333333,858,858,"NRAS"
"37",77,59,59,59,878,878,878,"NRAS"
"38",78,84.5,84.5,78.8035532193822,1218.5,819.780458415544,1218.5,"NRAS"
"39",79,21.5,21.5,19.7484176581315,587.5,24.2383992870816,587.5,"NRAS"
"40",80,43,43,38.5746030439718,614,597.590997254811,614,"NRAS"
"41",83,91.5,91.5,79.9499843652267,1326.5,1323.99395769014,1326.5,"NRAS"
"42",84,39,39,39,446,446,446,"NRAS"
"43",85,48,48,48,917,917,917,"NRAS"
"44",86,14,14,14,268,268,268,"NRAS"
