"Age","Sig1Mean","Sig1Med","Sig1RobMean","Sig7Mean","Sig7RobMean","Sig7Med","Cohort"
"1",25,18,18,18,0,4.15764359551784e-07,0,"W3"
"2",32,29,29,28.7228132326901,236,233.390231158033,236,"W3"
"3",34,22,22,22,325,325,325,"W3"
"4",37,13.5,13.5,9.59166304662544,163.5,138.115893364956,163.5,"W3"
"5",39,5,5,5,106,106,106,"W3"
"6",41,1,1,1,0,4.15764359551784e-07,0,"W3"
"7",42,49,49,49,3548,3548,3548,"W3"
"8",48,52.5,52.5,51.8073353879545,645,642.01323973887,645,"W3"
"9",49,10,10,10,0,4.15764359551784e-07,0,"W3"
"10",50,25,25,24.2693221990232,312.5,17.6776695296637,312.5,"W3"
"11",51,12,12,12,1,1,1,"W3"
"12",53,18,18.5,15.8745078663875,274,251.374223022171,283,"W3"
"13",54,6,6,6,321,321,321,"W3"
"14",55,21.75,23.5,23.6556573818084,98.5,2.08907286142213,3,"W3"
"15",56,22.5,22.5,22.3606797749979,231,15.1986841535707,231,"W3"
"16",57,10.5,10.5,9.48683298050514,135,11.6189500386223,135,"W3"
"17",58,6,6,5.19615242270663,126,11.2249721603218,126,"W3"
"18",59,65,65,65,1222,1222,1222,"W3"
"19",60,3,3,3.11166530857395,2,2.08841837827714,2,"W3"
"20",61,12,12,12,0,4.15764359551784e-07,0,"W3"
"21",63,67.3333333333333,30,30,670,7,7,"W3"
"22",64,45,45,43.081318457076,451,94.4457516249407,451,"W3"
"23",65,21,17,17,78.6666666666667,6,6,"W3"
"24",66,27,19,19,156.666666666667,111,111,"W3"
"25",67,14,14,14,551.5,551.418171626579,551.5,"W3"
"26",68,17,15.5,10.3923048454133,491,63.7102817447859,230,"W3"
"27",69,2,2,2,1,1,1,"W3"
"28",70,46,23,23.1570833975142,611.25,41.2795348811006,110.5,"W3"
"29",71,42.5,42.5,27.3861278752583,400,48.8978527135906,400,"W3"
"30",72,23,23,22.4499443206436,264,22.956480566498,264,"W3"
"31",73,92.3333333333333,23,23,1539.66666666667,873,873,"W3"
"32",74,32.5,32.5,32.1869538788622,281,271.882327487463,281,"W3"
"33",75,16.6666666666667,9,10.147641357573,61.3333333333333,56,56,"W3"
"34",76,46.6666666666667,57,57,340,495,495,"W3"
"35",77,30,39,39,608.333333333333,593,593,"W3"
"36",79,13,13,13,0,4.15764359551784e-07,0,"W3"
"37",80,63,63,63,597,597,597,"W3"
"38",82,38,38,38,937,937,937,"W3"
"39",83,20,20,20,0,4.15764359551784e-07,0,"W3"
"40",85,51,51,51,876,876,876,"W3"
"41",87,194,194,192.860052888098,3258.5,3102.70881650212,3258.5,"W3"
"42",90,3,3,3,1,1,1,"W3"
